Month,Angular,Ansible,Asp,Assembly,Bash,Cassandra,Chef,Coffeescript,Couchbase,Css,Dart,Django,Docker,Drupal,Dynamodb,Elasticsearch,Elixir,Elm,Erlang,Express,Firebase,Flask,Flutter,Go,Graphql,Hadoop,Hdfs,Html,Ida,Java,Javascript,Jquery,Jupyter,Kafka,Keras,Kotlin,Kubernetes,Laravel,Mariadb,Mean,Mern,Mongodb,Mysql,Nextjs,Node,Objective,Phoenix,Postgres,Postgresql,Powershell,Puppet,Python,Pytorch,React,Redis,Ruby,Rust,Scala,Shiny,Spark,Spring,Sql,Sqlite,Svelte,Swift,Tableau,Tensorflow,Typescript,Unity,Unreal,Vue,Wasm,Webassembly,Wordpress
January,57,15,10.0,8,9,8,8,2.0,1.0,21,1.0,52,91,2.0,7,35,30,13.0,8,16,2.0,23,5.0,181,49,14,1.0,73,1.0,122,162,3,2.0,31,5,23,82,10,1.0,2.0,1.0,34,43,0.0,127,8,13,74,50,0.0,0.0,265.0,2,330,38,103,28,54,0.0,33,18,40,2,1.0,23,0.0,9,76,3,0.0,39,0.0,0.0,8.0
February,50,16,3.0,7,6,7,6,1.0,0.0,27,1.0,62,97,2.0,10,31,28,11.0,6,11,5.0,18,3.0,145,47,12,0.0,56,1.0,107,132,8,3.0,30,5,20,85,6,2.0,4.0,1.0,29,27,0.0,121,8,12,65,55,2.0,5.0,256.0,3,335,49,90,28,51,0.0,28,16,31,1,0.0,22,0.0,12,71,2,1.0,32,0.0,9.0,3.0
March,52,21,2.0,3,9,6,12,0.0,0.0,19,1.0,72,100,0.0,10,33,24,15.0,7,12,6.0,17,3.0,148,53,11,0.0,60,1.0,116,155,7,5.0,26,4,21,84,7,2.0,4.0,0.0,25,31,0.0,115,5,11,59,68,1.0,5.0,273.0,1,340,32,112,30,41,0.0,20,10,33,1,0.0,21,1.0,8,79,4,1.0,31,0.0,2.0,3.0
April,37,20,0.0,4,6,11,7,0.0,0.0,21,0.0,56,89,0.0,7,30,23,5.0,12,10,5.0,20,4.0,134,45,11,0.0,53,1.0,109,133,3,1.0,31,4,27,88,3,1.0,4.0,0.0,43,31,1.0,119,4,7,59,48,1.0,2.0,242.0,6,339,42,80,27,53,0.0,26,15,39,1,0.0,25,9.0,10,68,4,0.0,30,0.0,0.0,4.0
May,56,20,5.0,4,11,8,6,0.0,0.0,25,0.0,68,89,2.0,9,30,23,5.0,6,8,2.0,14,1.0,155,43,12,0.0,85,4.0,103,150,3,1.0,32,4,26,77,8,0.0,3.0,0.0,35,25,0.0,122,8,7,60,57,1.0,2.0,262.0,5,341,42,72,29,57,0.0,30,5,44,2,1.0,24,6.0,12,92,7,0.0,32,1.0,4.0,2.0
June,55,11,7.0,2,6,5,4,2.0,0.0,23,0.0,58,68,0.0,4,28,27,2.0,8,10,0.0,17,0.0,130,40,6,0.0,60,1.0,94,136,9,2.0,19,3,15,61,2,0.0,5.0,0.0,21,26,2.0,88,7,8,54,43,2.0,3.0,225.0,4,288,33,82,33,59,1.0,12,11,42,3,0.0,26,1.0,7,68,9,0.0,28,0.0,1.0,3.0
July,49,19,6.0,7,11,12,5,3.0,1.0,20,2.0,54,74,1.0,8,33,24,4.0,5,9,3.0,22,4.0,170,43,8,1.0,67,1.0,118,147,7,2.0,26,4,27,71,9,1.0,5.0,1.0,25,38,1.0,117,7,5,56,47,1.0,3.0,258.0,3,338,46,106,36,48,1.0,21,12,33,5,0.0,33,4.0,11,77,3,0.0,34,0.0,4.0,7.0
August,43,21,3.0,6,11,6,8,2.0,0.0,24,0.0,51,80,1.0,11,34,22,1.0,9,10,4.0,14,4.0,126,41,13,0.0,76,1.0,89,140,6,0.0,23,4,29,85,8,1.0,1.0,0.0,28,24,1.0,113,10,5,57,47,3.0,4.0,237.0,5,365,39,78,32,42,1.0,24,11,31,2,0.0,24,1.0,11,95,5,0.0,26,0.0,4.0,2.0
September,48,22,4.0,3,9,5,5,1.0,0.0,16,2.0,43,81,0.0,5,15,24,0.0,4,11,1.0,10,1.0,112,43,6,0.0,49,0.0,93,116,4,2.0,23,3,26,78,4,0.0,2.0,0.0,29,24,1.0,122,5,8,58,44,2.0,3.0,209.0,3,346,32,74,36,28,0.0,20,12,33,2,0.0,15,3.0,5,105,4,1.0,25,1.0,5.0,0.0
October,44,23,2.0,6,7,10,6,4.0,0.0,22,4.0,49,97,4.0,7,28,29,2.0,6,9,3.0,12,5.0,159,54,4,0.0,66,1.0,99,146,5,2.0,38,4,34,86,7,1.0,1.0,0.0,55,29,0.0,115,6,7,64,55,4.0,10.0,246.0,6,360,45,88,35,49,1.0,32,15,28,2,0.0,21,0.0,9,108,2,0.0,31,0.0,6.0,2.0
November,44,19,7.0,5,5,7,5,2.0,0.0,19,1.0,52,75,2.0,6,21,31,2.0,6,15,2.0,14,4.0,110,54,8,2.0,52,1.0,101,147,8,2.0,21,3,31,65,7,0.0,0.0,0.0,24,32,0.0,91,14,12,48,48,0.0,5.0,195.0,1,290,36,79,37,29,0.0,17,20,26,2,0.0,26,2.0,7,73,7,0.0,31,0.0,3.0,7.0
December,28,14,5.0,6,2,3,2,2.0,0.0,16,1.0,47,60,3.0,6,18,19,0.0,7,11,1.0,7,4.0,112,38,5,1.0,40,1.0,70,83,3,2.0,15,1,17,65,5,1.0,3.0,0.0,21,19,1.0,87,9,11,46,40,0.0,3.0,196.0,2,248,28,65,36,17,0.0,17,6,29,1,0.0,16,2.0,5,65,6,1.0,16,0.0,0.0,2.0
